"Campaign Name","Media Property","Placement Name","Ad Server Placement Code","Date","GroupM Active Impressions","GroupM Fraud/SIVT Impressions","GroupM Non-Fraud/SIVT Impressions","GroupM Ineligible Impressions","GroupM Eligible Impressions","GroupM Unmeasured Impressions","GroupM Measured Impressions","GroupM Passed Impressions","GroupM Failed Impressions","GroupM Unevaluated Impressions","GroupM Projected Impressions","GroupM Billable Impressions"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK0SH1_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_DSK_DIR_VID_TRG_RON_PXT_CTG_DVY_ALL SCREEN PREROLL + PROXIMITYPLUS DWELL TIME TARGETING TO MARSHALLS VISITORS_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205697632","10/01/2017","44011.00","1.00","44010.00","586.00","43424.00","170.00","43254.00","38743.00","4511.00","756.00","677.00","39420.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK0SH1_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_DSK_DIR_VID_TRG_RON_PXT_CTG_DVY_ALL SCREEN PREROLL + PROXIMITYPLUS DWELL TIME TARGETING TO MARSHALLS VISITORS_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205697632","10/02/2017","34218.00","2.00","34216.00","483.00","33733.00","102.00","33631.00","29999.00","3632.00","585.00","522.00","30521.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK0SB7_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_DSK_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_AFFINITY/BUZZ WORTHY_CROSS DEVICE_PREROLL DESKTOP_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205698709","09/22/2017","23.00","5.00","18.00","14.00","4.00","0.00","4.00","2.00","2.00","14.00","7.00","9.00"
"TJN_MAR_024_Digital Video_Q4FY18","Hulu","PJKY7N_TJN_MAR_024_FEP_HULU_DSK_PREMIUM SLATE_DIR_CUS_ROT_ROS_CTG_BTG_DVY_AWR_BS1_Run of Site_Demo_F25-54_1 x 1_Click and View_NV_NA","205631704","10/13/2017","28146.00","229.00","27917.00","27917.00","0.00","0.00","0.00","0.00","0.00","27917.00","",""
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK2HC1_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_CTV_DIR_VID_TRG_RON_BTG_CTG_DVY_ALL SCREEN PREROLL + SOCIAL AFFINITY TARGETING TO W25-54 MARSHALL ENTHUSIASTS CTV_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205648622","09/29/2017","1433.00","0.00","1433.00","1433.00","0.00","0.00","0.00","0.00","0.00","1433.00","1208.00","1208.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK2H75_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_MAP_DIR_VID_TRG_RON_BTG_CTG_DVY_ALL SCREEN PREROLL + SOCIAL AFFINITY TARGETING TO W25-54 MARSHALL ENTHUSIASTS MOB/TAB_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205697635","09/25/2017","128838.00","95.00","128743.00","128730.00","13.00","13.00","0.00","0.00","0.00","128743.00","128743.00","128743.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK0SH1_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_DSK_DIR_VID_TRG_RON_PXT_CTG_DVY_ALL SCREEN PREROLL + PROXIMITYPLUS DWELL TIME TARGETING TO MARSHALLS VISITORS_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205697632","10/19/2017","30.00","0.00","30.00","2.00","28.00","1.00","27.00","6.00","21.00","3.00","1.00","7.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK30NN_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_MWB_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_AFFINITY/BUZZ WORTHY_CROSS DEVICE_PREROLL MOBILE_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205648628","10/06/2017","35129.00","1549.00","33580.00","32425.00","1155.00","109.00","1046.00","62.00","984.00","32534.00","1928.00","1990.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK317N_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_TWB_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_COMPLIMENT/CORD CUTTERS+STREAMERS_CROSS DEVICE_PREROLL TABLET_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205649360","10/15/2017","5011.00","106.00","4905.00","4735.00","170.00","13.00","157.00","8.00","149.00","4748.00","242.00","250.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK0SH1_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_DSK_DIR_VID_TRG_RON_PXT_CTG_DVY_ALL SCREEN PREROLL + PROXIMITYPLUS DWELL TIME TARGETING TO MARSHALLS VISITORS_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205697632","10/09/2017","15007.00","15.00","14992.00","257.00","14735.00","52.00","14683.00","13019.00","1664.00","309.00","274.00","13293.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK0SH1_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_DSK_DIR_VID_TRG_RON_PXT_CTG_DVY_ALL SCREEN PREROLL + PROXIMITYPLUS DWELL TIME TARGETING TO MARSHALLS VISITORS_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205697632","09/26/2017","43696.00","4.00","43692.00","527.00","43165.00","88.00","43077.00","38809.00","4268.00","615.00","554.00","39363.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK0SC0_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_DSK_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_COMPLIMENT/CORD CUTTERS+STREAMERS_CROSS DEVICE_PREROLL DESKTOP_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205698712","09/26/2017","11341.00","3648.00","7693.00","2344.00","5349.00","154.00","5195.00","877.00","4318.00","2498.00","422.00","1299.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK0SGD_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_DSK_DIR_VID_TRG_RON_BTG_CTG_DVY_ALL SCREEN PREROLL + SOCIAL AFFINITY TARGETING TO W25-54 MARSHALL ENTHUSIASTS DESKTOP_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205698706","09/26/2017","14200.00","0.00","14200.00","177.00","14023.00","38.00","13985.00","12556.00","1429.00","215.00","193.00","12749.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK30PK_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_TWB_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_AFFINITY/BUZZ WORTHY_CROSS DEVICE_PREROLL TABLET_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205697638","10/16/2017","35316.00","702.00","34614.00","32933.00","1681.00","1288.00","393.00","147.00","246.00","34221.00","12800.00","12947.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK3178_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_MWB_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_COMPLIMENT/CORD CUTTERS+STREAMERS_CROSS DEVICE_PREROLL MOBILE_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205649207","10/19/2017","4558.00","114.00","4444.00","4431.00","13.00","13.00","0.00","0.00","0.00","4444.00","474.00","474.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK317N_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_TWB_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_COMPLIMENT/CORD CUTTERS+STREAMERS_CROSS DEVICE_PREROLL TABLET_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205649360","10/04/2017","4934.00","125.00","4809.00","4570.00","239.00","16.00","223.00","22.00","201.00","4586.00","452.00","474.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK0SGD_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_DSK_DIR_VID_TRG_RON_BTG_CTG_DVY_ALL SCREEN PREROLL + SOCIAL AFFINITY TARGETING TO W25-54 MARSHALL ENTHUSIASTS DESKTOP_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205698706","10/09/2017","14300.00","22.00","14278.00","279.00","13999.00","50.00","13949.00","12209.00","1740.00","329.00","288.00","12497.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK0SC0_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_DSK_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_COMPLIMENT/CORD CUTTERS+STREAMERS_CROSS DEVICE_PREROLL DESKTOP_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205698712","10/09/2017","5033.00","617.00","4416.00","4038.00","378.00","25.00","353.00","160.00","193.00","4063.00","1842.00","2002.00"
"TJN_MAR_024_Digital Video_Q4FY18","Samba.tv","PK3178_TJN_MAR_024_OLV_SAMBA TV_AWR_BS1_MWB_DIR_VID_TRG_RON_RTG_BTG_DVY_SAMBA LIVE TV SYNC/RETARGET_COMPLIMENT/CORD CUTTERS+STREAMERS_CROSS DEVICE_PREROLL MOBILE_Run of Network_Demo_F25-54_640 x 360_Standard_NV_NA","205649207","10/09/2017","5224.00","123.00","5101.00","5014.00","87.00","67.00","20.00","4.00","16.00","5081.00","1016.00","1020.00"
"TJN_MAR_024_Digital Video_Q4FY18","Tremor Video Inc.","PK2HGG_TJN_MAR_024_OLV_TREMOR NETWORK_AWR_BS1_MAP_DIR_VID_TRG_RON_PXT_CTG_DVY_ALL SCREEN PREROLL + PROXIMITYPLUS DWELL TIME TARGETING TO MARSHALLS VISITORS MOB/TAB APP_Run of Network_Behavioral_F25-54_1280 x 720_Standard_NV_NA","205698700","10/07/2017","113526.00","2461.00","111065.00","110582.00","483.00","12.00","471.00","428.00","43.00","110594.00","100497.00","100925.00"
